Timestamp,windunit,bearing,pressTL,TheatindexTH,pressTH,TtempTL,apptemp,SolarRad,Tbeaufort,humidex,wgust,rainunit,press,temptrend,wgustTM,intemp,bearingTM,rrate,tempTH,pressH,tempTL,pressL,ver,TrrateTM,avgbearing,TpressTH,CurrentSolarMax,domwinddir,apptempTH,heatindex,LastRainTipISO,apptempTL,forecast,hourlyrainTH,TwchillTL,version,build,windTM,inhum,windrun,WindRoseData,UVTH,wchill,TtempTH,wchillTL,hum,rrateTM,tempunit,humTH,rfall,heatindexTH,wspeed,humTL,date,BearingRangeFrom10,SolarTM,TdewpointTH,TdewpointTL,presstrendval,ThourlyrainTH,wlatest,temp,TapptempTL,ThumTL,UV,ThumTH,SensorContactLost,pressunit,dew,BearingRangeTo10,TwgustTM,dewpointTH,timeUTC,dewpointTL,TpressTL,TapptempTH
"2015-11-24 22:50:00","km/h",38,1018.6,15.03,1025.1,7.51,3.5,NULL,0,3.5,14.5,"mm",1018.6,0,14.5,22.3,0,0,9.4,1025.1,1.1,1018.6,11,NULL,1.6,10.44,NULL,0.9,0,8.9,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 24/11/15 alle  23.49 UTC - Il sole sorge alle  7.36 e tramonta alle 16.50 condizioni a San Salvatore Monferrato: temperatura 3.7 C - Umidita 80 % - la pressione barometrica 1018.6 hPa",0,7.27,"Wl_6.0.3","",14.5,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3.7,15.12,0,80,0,"C",89,0,8.9,1.6,50,23.49,0,NULL,0,10.15,0,0,1.6,3.7,0,15.15,NULL,2.55,0,"hPa",0.5,0,0.22,1.7,22.49,-2.8,23.48,0
"2015-11-24 22:55:00","km/h",337,1018.6,15.03,1025.1,7.51,3.4,NULL,0,3.4,14.5,"mm",1018.6,0,14.5,22.3,0,0,9.4,1025.1,1.1,1018.6,11,NULL,1.6,10.44,NULL,0.9,0,8.9,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 24/11/15 alle  23.54 UTC - Il sole sorge alle  7.36 e tramonta alle 16.50 condizioni a San Salvatore Monferrato: temperatura 3.6 C - Umidita 80 % - la pressione barometrica 1018.6 hPa",0,7.27,"Wl_6.0.3","",14.5,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3.6,15.12,0,80,0,"C",89,0,8.9,0,50,23.54,0,NULL,0,10.15,0,0,0,3.6,0,15.15,NULL,2.55,0,"hPa",0.5,0,0.22,1.7,22.54,-2.8,23.52,0
"2015-11-24 23:00:00","km/h",306,1018.6,15.03,1025.1,7.51,3.4,NULL,0,3.4,14.5,"mm",1018.6,0,14.5,22.3,0,0,9.4,1025.1,1.1,1018.6,11,NULL,1.6,10.44,NULL,1.1,0,8.9,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 24/11/15 alle  23.59 UTC - Il sole sorge alle  7.36 e tramonta alle 16.50 condizioni a San Salvatore Monferrato: temperatura 3.6 C - Umidita 80 % - la pressione barometrica 1018.6 hPa",0,7.27,"Wl_6.0.3","",14.5,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3.6,15.12,0,80,0,"C",89,0,8.9,0,50,23.59,0,NULL,0,10.15,0,0,0,3.6,0,15.15,NULL,2.55,0,"hPa",0.4,0,0.22,1.7,22.59,-2.8,23.52,0
"2015-11-24 23:05:00","km/h",306,1018.6,0,1018.6,0.02,3.3,NULL,0,3.3,1.6,"mm",1018.6,0,1.6,22.3,0,0,3.5,1018.6,3.4,1018.6,11,NULL,1.6,0,NULL,NULL,0,3.3,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 25/11/15 alle   0.04 UTC - Il sole sorge alle  7.36 e tramonta alle 16.49 condizioni a San Salvatore Monferrato: temperatura 3.4 C - Umidita 80 % - la pressione barometrica 1018.6 hPa",0,0,"Wl_6.0.3","",1.6,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3.4,0,2.8,80,0,"C",80,0,3.3,1.6,80,0.04,0,NULL,0,0,0,0,1.6,3.4,0,0,NULL,0,0,"hPa",0.3,0,0,0.6,23.04,0.6,0.01,0
"2015-11-24 23:10:00","km/h",301,1018.5,0,1018.6,0.09,3.2,NULL,0,3.2,1.6,"mm",1018.5,0,1.6,22.3,0,0,3.5,1018.6,3.3,1018.5,11,NULL,0,0,NULL,NULL,0,3.3,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 25/11/15 alle   0.09 UTC - Il sole sorge alle  7.36 e tramonta alle 16.49 condizioni a San Salvatore Monferrato: temperatura 3.3 C - Umidita 80 % - la pressione barometrica 1018.5 hPa",0,0,"Wl_6.0.3","",1.6,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3.3,0,2.8,80,0,"C",80,0,3.3,0,80,0.09,0,NULL,0,0.06,0,0,0,3.3,0,0,NULL,0,0,"hPa",0.2,0,0,0.6,23.09,0,0.06,0
"2015-11-24 23:15:00","km/h",301,1018.4,0,1018.6,0.09,3.2,NULL,0,3.2,3.2,"mm",1018.4,0,3.2,22.3,0,0,3.5,1018.6,3.3,1018.4,11,NULL,1.6,0,NULL,0.7,0,3.3,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 25/11/15 alle   0.14 UTC - Il sole sorge alle  7.36 e tramonta alle 16.49 condizioni a San Salvatore Monferrato: temperatura 3.3 C - Umidita 80 % - la pressione barometrica 1018.4 hPa",0,0,"Wl_6.0.3","",3.2,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3.3,0,2.8,80,0,"C",80,0,3.3,3.2,80,0.14,0,NULL,0,0.06,0,0,3.2,3.3,0,0,NULL,0,0,"hPa",0.2,0,0.14,0.6,23.14,0,0.12,0
"2015-11-24 23:20:00","km/h",301,1018.3,0,1018.6,0.19,3.1,NULL,0,3.1,3.2,"mm",1018.4,0,3.2,22.3,0,0,3.5,1018.6,3.2,1018.3,11,NULL,1.6,0,NULL,1.1,0,3.3,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 25/11/15 alle   0.19 UTC - Il sole sorge alle  7.36 e tramonta alle 16.49 condizioni a San Salvatore Monferrato: temperatura 3.2 C - Umidita 80 % - la pressione barometrica 1018.4 hPa",0,0,"Wl_6.0.3","",3.2,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3.2,0,2.8,80,0,"C",80,0,3.3,0,80,0.19,0,NULL,0,0.06,0,0,0,3.2,0,0,NULL,0,0,"hPa",0.1,0,0.14,0.6,23.19,0,0.2,0
"2015-11-24 23:25:00","km/h",312,1018.3,0,1018.6,0.24,2.9,NULL,0,2.9,3.2,"mm",1018.3,0,3.2,22.3,0,0,3.5,1018.6,3.1,1018.3,11,NULL,1.6,0,NULL,1.2,0,3.3,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 25/11/15 alle   0.24 UTC - Il sole sorge alle  7.36 e tramonta alle 16.49 condizioni a San Salvatore Monferrato: temperatura 3.1 C - Umidita 80 % - la pressione barometrica 1018.3 hPa",0,0,"Wl_6.0.3","",3.2,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3.1,0,2.8,80,0,"C",80,0,3.3,0,80,0.24,0,NULL,0,0.06,0,0,0,3.1,0,0,NULL,0,0,"hPa",-0.1,0,0.14,0.6,23.24,0,0.23,0
"2015-11-24 23:30:00","km/h",312,1018.2,0,1018.6,0.24,2.9,NULL,0,2.9,3.2,"mm",1018.2,0,3.2,22.3,0,0,3.5,1018.6,3.1,1018.2,11,NULL,0,0,NULL,0.6,0,3.3,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 25/11/15 alle   0.29 UTC - Il sole sorge alle  7.36 e tramonta alle 16.49 condizioni a San Salvatore Monferrato: temperatura 3.1 C - Umidita 81 % - la pressione barometrica 1018.2 hPa",0,0,"Wl_6.0.3","",3.2,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3.1,0,2.8,81,0,"C",81,0,3.3,0,80,0.29,0,NULL,0,0.06,0,0,0,3.1,0,0,NULL,0.28,0,"hPa",0.1,0,0.14,0.6,23.29,0,0.29,0
"2015-11-24 23:35:00","km/h",337,1018.1,0,1018.6,0.29,2.8,NULL,0,2.8,4.8,"mm",1018.1,0,4.8,22.3,0,0,3.5,1018.6,3,1018.1,11,NULL,0,0,NULL,0.8,0,3.3,"2013,1,8,7,24,28",0,"Ultimo aggiornamento del 25/11/15 alle   0.34 UTC - Il sole sorge alle  7.36 e tramonta alle 16.49 condizioni a San Salvatore Monferrato: temperatura 3.0 C - Umidita 81 % - la pressione barometrica 1018.1 hPa",0,0,"Wl_6.0.3","",4.8,46,0,"[0.0,0.0,3.2,0.0,21.0,112.6,268.6,708.4,2915.4,9315.0,17020.3,10376.7,3179.8,526.1,16.1,6.4]",NULL,3,0,2.8,81,0,"C",81,0,3.3,3.2,80,0.34,0,NULL,0,0.06,0,0,3.2,3,0,0,NULL,0.28,0,"hPa",0.1,0,0.34,0.6,23.34,0,0.33,0
